"name","auxv_field","bit","mask","announced","observed_value"
"HWCAP_FP","AT_HWCAP","0","0x0000000000000001","True","0xffffffff"
"HWCAP_ASIMD","AT_HWCAP","1","0x0000000000000002","True","0xffffffff"
"HWCAP_EVTSTRM","AT_HWCAP","2","0x0000000000000004","True","0xffffffff"
"HWCAP_AES","AT_HWCAP","3","0x0000000000000008","True","0xffffffff"
"HWCAP_PMULL","AT_HWCAP","4","0x0000000000000010","True","0xffffffff"
"HWCAP_SHA1","AT_HWCAP","5","0x0000000000000020","True","0xffffffff"
"HWCAP_SHA2","AT_HWCAP","6","0x0000000000000040","True","0xffffffff"
"HWCAP_CRC32","AT_HWCAP","7","0x0000000000000080","True","0xffffffff"
"HWCAP_ATOMICS","AT_HWCAP","8","0x0000000000000100","True","0xffffffff"
"HWCAP_FPHP","AT_HWCAP","9","0x0000000000000200","True","0xffffffff"
"HWCAP_ASIMDHP","AT_HWCAP","10","0x0000000000000400","True","0xffffffff"
"HWCAP_CPUID","AT_HWCAP","11","0x0000000000000800","True","0xffffffff"
"HWCAP_ASIMDRDM","AT_HWCAP","12","0x0000000000001000","True","0xffffffff"
"HWCAP_JSCVT","AT_HWCAP","13","0x0000000000002000","True","0xffffffff"
"HWCAP_FCMA","AT_HWCAP","14","0x0000000000004000","True","0xffffffff"
"HWCAP_LRCPC","AT_HWCAP","15","0x0000000000008000","True","0xffffffff"
"HWCAP_DCPOP","AT_HWCAP","16","0x0000000000010000","True","0xffffffff"
"HWCAP_SHA3","AT_HWCAP","17","0x0000000000020000","True","0xffffffff"
"HWCAP_SM3","AT_HWCAP","18","0x0000000000040000","True","0xffffffff"
"HWCAP_SM4","AT_HWCAP","19","0x0000000000080000","True","0xffffffff"
"HWCAP_ASIMDDP","AT_HWCAP","20","0x0000000000100000","True","0xffffffff"
"HWCAP_SHA512","AT_HWCAP","21","0x0000000000200000","True","0xffffffff"
"HWCAP_SVE","AT_HWCAP","22","0x0000000000400000","True","0xffffffff"
"HWCAP_ASIMDFHM","AT_HWCAP","23","0x0000000000800000","True","0xffffffff"
"HWCAP_DIT","AT_HWCAP","24","0x0000000001000000","True","0xffffffff"
"HWCAP_USCAT","AT_HWCAP","25","0x0000000002000000","True","0xffffffff"
"HWCAP_ILRCPC","AT_HWCAP","26","0x0000000004000000","True","0xffffffff"
"HWCAP_FLAGM","AT_HWCAP","27","0x0000000008000000","True","0xffffffff"
"HWCAP_SSBS","AT_HWCAP","28","0x0000000010000000","True","0xffffffff"
"HWCAP_SB","AT_HWCAP","29","0x0000000020000000","True","0xffffffff"
"HWCAP_PACA","AT_HWCAP","30","0x0000000040000000","True","0xffffffff"
"HWCAP_PACG","AT_HWCAP","31","0x0000000080000000","True","0xffffffff"
"HWCAP2_DCPODP","AT_HWCAP2","0","0x0000000000000001","True","0x40003cbb73ef"
"HWCAP2_SVE2","AT_HWCAP2","1","0x0000000000000002","True","0x40003cbb73ef"
"HWCAP2_SVEAES","AT_HWCAP2","2","0x0000000000000004","True","0x40003cbb73ef"
"HWCAP2_SVEPMULL","AT_HWCAP2","3","0x0000000000000008","True","0x40003cbb73ef"
"HWCAP2_SVEBITPERM","AT_HWCAP2","4","0x0000000000000010","False","0x40003cbb73ef"
"HWCAP2_SVESHA3","AT_HWCAP2","5","0x0000000000000020","True","0x40003cbb73ef"
"HWCAP2_SVESM4","AT_HWCAP2","6","0x0000000000000040","True","0x40003cbb73ef"
"HWCAP2_FLAGM2","AT_HWCAP2","7","0x0000000000000080","True","0x40003cbb73ef"
"HWCAP2_FRINT","AT_HWCAP2","8","0x0000000000000100","True","0x40003cbb73ef"
"HWCAP2_SVEI8MM","AT_HWCAP2","9","0x0000000000000200","True","0x40003cbb73ef"
"HWCAP2_SVEF32MM","AT_HWCAP2","10","0x0000000000000400","False","0x40003cbb73ef"
"HWCAP2_SVEF64MM","AT_HWCAP2","11","0x0000000000000800","False","0x40003cbb73ef"
"HWCAP2_SVEBF16","AT_HWCAP2","12","0x0000000000001000","True","0x40003cbb73ef"
"HWCAP2_I8MM","AT_HWCAP2","13","0x0000000000002000","True","0x40003cbb73ef"
"HWCAP2_BF16","AT_HWCAP2","14","0x0000000000004000","True","0x40003cbb73ef"
"HWCAP2_DGH","AT_HWCAP2","15","0x0000000000008000","False","0x40003cbb73ef"
"HWCAP2_RNG","AT_HWCAP2","16","0x0000000000010000","True","0x40003cbb73ef"
"HWCAP2_BTI","AT_HWCAP2","17","0x0000000000020000","True","0x40003cbb73ef"
"HWCAP2_MTE","AT_HWCAP2","18","0x0000000000040000","False","0x40003cbb73ef"
"HWCAP2_ECV","AT_HWCAP2","19","0x0000000000080000","True","0x40003cbb73ef"
"HWCAP2_AFP","AT_HWCAP2","20","0x0000000000100000","True","0x40003cbb73ef"
"HWCAP2_RPRES","AT_HWCAP2","21","0x0000000000200000","True","0x40003cbb73ef"
"HWCAP2_MTE3","AT_HWCAP2","22","0x0000000000400000","False","0x40003cbb73ef"
"HWCAP2_SME","AT_HWCAP2","23","0x0000000000800000","True","0x40003cbb73ef"
"HWCAP2_SME_I16I64","AT_HWCAP2","24","0x0000000001000000","False","0x40003cbb73ef"
"HWCAP2_SME_F64F64","AT_HWCAP2","25","0x0000000002000000","False","0x40003cbb73ef"
"HWCAP2_SME_I8I32","AT_HWCAP2","26","0x0000000004000000","True","0x40003cbb73ef"
"HWCAP2_SME_F16F32","AT_HWCAP2","27","0x0000000008000000","True","0x40003cbb73ef"
"HWCAP2_SME_B16F32","AT_HWCAP2","28","0x0000000010000000","True","0x40003cbb73ef"
"HWCAP2_SME_F32F32","AT_HWCAP2","29","0x0000000020000000","True","0x40003cbb73ef"
"HWCAP2_SME_FA64","AT_HWCAP2","30","0x0000000040000000","False","0x40003cbb73ef"
"HWCAP2_WFXT","AT_HWCAP2","31","0x0000000080000000","False","0x40003cbb73ef"
"HWCAP2_EBF16","AT_HWCAP2","32","0x0000000100000000","False","0x40003cbb73ef"
"HWCAP2_SVE_EBF16","AT_HWCAP2","33","0x0000000200000000","False","0x40003cbb73ef"
"HWCAP2_CSSC","AT_HWCAP2","34","0x0000000400000000","False","0x40003cbb73ef"
"HWCAP2_RPRFM","AT_HWCAP2","35","0x0000000800000000","False","0x40003cbb73ef"
"HWCAP2_SVE2P1","AT_HWCAP2","36","0x0000001000000000","False","0x40003cbb73ef"
"HWCAP2_SME2","AT_HWCAP2","37","0x0000002000000000","False","0x40003cbb73ef"
"HWCAP2_SME2P1","AT_HWCAP2","38","0x0000004000000000","False","0x40003cbb73ef"
"HWCAP2_SME_I16I32","AT_HWCAP2","39","0x0000008000000000","False","0x40003cbb73ef"
"HWCAP2_SME_BI32I32","AT_HWCAP2","40","0x0000010000000000","False","0x40003cbb73ef"
"HWCAP2_SME_B16B16","AT_HWCAP2","41","0x0000020000000000","False","0x40003cbb73ef"
"HWCAP2_SME_F16F16","AT_HWCAP2","42","0x0000040000000000","False","0x40003cbb73ef"
"HWCAP2_MOPS","AT_HWCAP2","43","0x0000080000000000","False","0x40003cbb73ef"
"HWCAP2_HBC","AT_HWCAP2","44","0x0000100000000000","False","0x40003cbb73ef"
"HWCAP2_SVE_B16B16","AT_HWCAP2","45","0x0000200000000000","False","0x40003cbb73ef"
"HWCAP2_LRCPC3","AT_HWCAP2","46","0x0000400000000000","True","0x40003cbb73ef"
"HWCAP2_LSE128","AT_HWCAP2","47","0x0000800000000000","False","0x40003cbb73ef"
"HWCAP2_FPMR","AT_HWCAP2","48","0x0001000000000000","False","0x40003cbb73ef"
"HWCAP2_LUT","AT_HWCAP2","49","0x0002000000000000","False","0x40003cbb73ef"
"HWCAP2_FAMINMAX","AT_HWCAP2","50","0x0004000000000000","False","0x40003cbb73ef"
"HWCAP2_F8CVT","AT_HWCAP2","51","0x0008000000000000","False","0x40003cbb73ef"
"HWCAP2_F8FMA","AT_HWCAP2","52","0x0010000000000000","False","0x40003cbb73ef"
"HWCAP2_F8DP4","AT_HWCAP2","53","0x0020000000000000","False","0x40003cbb73ef"
"HWCAP2_F8DP2","AT_HWCAP2","54","0x0040000000000000","False","0x40003cbb73ef"
"HWCAP2_F8E4M3","AT_HWCAP2","55","0x0080000000000000","False","0x40003cbb73ef"
"HWCAP2_F8E5M2","AT_HWCAP2","56","0x0100000000000000","False","0x40003cbb73ef"
"HWCAP2_SME_LUTV2","AT_HWCAP2","57","0x0200000000000000","False","0x40003cbb73ef"
"HWCAP2_SME_F8F16","AT_HWCAP2","58","0x0400000000000000","False","0x40003cbb73ef"
"HWCAP2_SME_F8F32","AT_HWCAP2","59","0x0800000000000000","False","0x40003cbb73ef"
"HWCAP2_SME_SF8FMA","AT_HWCAP2","60","0x1000000000000000","False","0x40003cbb73ef"
"HWCAP2_SME_SF8DP4","AT_HWCAP2","61","0x2000000000000000","False","0x40003cbb73ef"
"HWCAP2_SME_SF8DP2","AT_HWCAP2","62","0x4000000000000000","False","0x40003cbb73ef"
"HWCAP2_POE","AT_HWCAP2","63","0x8000000000000000","False","0x40003cbb73ef"
